SeqNo,Annual,ItemName,Category,Percentage ,Author,IssueDate,URL
1,101,近十年國防預算結構分析,軍事投資,27.26,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
2,101,近十年國防預算結構分析,作業維持,22.33,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
3,101,近十年國防預算結構分析,人員維持,49,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
4,101,近十年國防預算結構分析,其他,1.41,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
5,102,近十年國防預算結構分析,軍事投資,25.98,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
6,102,近十年國防預算結構分析,作業維持,22.62,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
7,102,近十年國防預算結構分析,人員維持,49.92,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
8,102,近十年國防預算結構分析,其他,1.48,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
9,103,近十年國防預算結構分析,軍事投資,27.62,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
10,103,近十年國防預算結構分析,作業維持,21.99,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
11,103,近十年國防預算結構分析,人員維持,48.94,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
12,103,近十年國防預算結構分析,其他,1.45,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
13,104,近十年國防預算結構分析,軍事投資,30.76,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
14,104,近十年國防預算結構分析,作業維持,22.46,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
15,104,近十年國防預算結構分析,人員維持,45.23,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
16,104,近十年國防預算結構分析,其他,1.55,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
17,105,近十年國防預算結構分析,軍事投資,30.34,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
18,105,近十年國防預算結構分析,作業維持,22.7,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
19,105,近十年國防預算結構分析,人員維持,45.52,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
20,105,近十年國防預算結構分析,其他,1.44,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
21,106,近十年國防預算結構分析,軍事投資,26.84,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
22,106,近十年國防預算結構分析,作業維持,25.41,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
23,106,近十年國防預算結構分析,人員維持,46.27,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
24,106,近十年國防預算結構分析,其他,1.48,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
25,107,近十年國防預算結構分析,軍事投資,24.78,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
26,107,近十年國防預算結構分析,作業維持,25.39,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
27,107,近十年國防預算結構分析,人員維持,48.37,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
28,107,近十年國防預算結構分析,其他,1.46,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
29,108,近十年國防預算結構分析,軍事投資,26.37,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
30,108,近十年國防預算結構分析,作業維持,27.67,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
31,108,近十年國防預算結構分析,人員維持,45.96,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
32,109,近十年國防預算結構分析,軍事投資,25.51,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
33,109,近十年國防預算結構分析,作業維持,27.22,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
34,109,近十年國防預算結構分析,人員維持,47.27,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
35,110,近十年國防預算結構分析,軍事投資,25.67,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
36,110,近十年國防預算結構分析,作業維持,27.45,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
37,110,近十年國防預算結構分析,人員維持,46.88,國防部主計局,20210521,https://www.mnd.gov.tw/NewUpload/202105/12.%e8%bf%91%e5%8d%81%e5%b9%b4%e5%9c%8b%e9%98%b2%e9%a0%90%e7%ae%97%e7%b5%90%e6%a7%8b%e5%88%86%e6%9e%90_064594.pdf
